gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1060545451																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Martes_foina_Ski_110_58_2		Skiba, Reinald													PRESENT																			1999-07-03T23:00:00				1999	7	3																DE				Hückeswagen									51.17	7.38																																																		Martes foina (Erxleben, 1777)								Animalia	Chordata	Mammalia	Carnivora	Mustelidae		Martes	Martes			foina			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:44.542Z							GEODETIC_DATUM_ASSUMED_WGS84	Sound	true	false	5218887	5218887	1	44	359	732	5307	2433765		5218887	Martes foina	Martes foina (Erxleben, 1777)	Martes foina Erxleben, 1777		BIOCASE	2022-09-09T08:41:44.542Z	2022-04-23T02:14:53.686Z	false		DEU	Germany	DEU.10_1	Nordrhein-Westfalen	DEU.10.34_1	Oberbergischer Kreis	DEU.10.34.4_1	Hückeswagen	LC
1052811762																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Phoca_vitulina_D_1_4_1		Lütgens, Hans													PRESENT																																									DE				Wangerooge																																																												Phoca vitulina Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Phocidae		Phoca	Phoca			vitulina			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:43.553Z								Sound	false	false	2434793	2434793	1	44	359	732	5310	2433485		2434793	Phoca vitulina	Phoca vitulina Linnaeus, 1758	Phoca vitulina Linnaeus, 1758		BIOCASE	2022-09-09T08:41:43.553Z	2022-04-23T02:14:53.686Z	false										LC
1052810971																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Mustela_putorius_S_618_5_1		Tembrock, Günter													PRESENT																			1961-08-03T19:30:00				1961	8	3																DE				Bad Fallingbostel									52.866667	9.7																																																		Mustela putorius Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Mustelidae		Mustela	Mustela			putorius			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:46.441Z							GEODETIC_DATUM_ASSUMED_WGS84	Sound	true	false	5218911	5218911	1	44	359	732	5307	2433922		5218911	Mustela putorius	Mustela putorius Linnaeus, 1758	Mustela putorius Linnaeus, 1758		BIOCASE	2022-09-09T08:41:46.441Z	2022-04-23T02:14:53.686Z	false		DEU	Germany	DEU.9_1	Niedersachsen	DEU.9.18_1	Heidekreis	DEU.9.18.2_1	Bad Fallingbostel	LC
1052802741																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_Tre_N_127_2_1		Tretzel, Erwin													PRESENT																			1973-06-15T00:00:00				1973	6	15																DE				Sötern																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:45.420Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:45.420Z	2022-04-23T02:14:53.686Z	false										
1052802739																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_S_1443_16_2		Löhn, Janet and Berger, Anne													PRESENT																			1992-03-18T11:22:00				1992	3	18																DE				Birken-Honigsessen																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:41.753Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:41.753Z	2022-04-23T02:14:53.686Z	false										
1052802738																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_S_1443_7_1		Frommolt, Karl-Heinz													PRESENT																			1992-03-17T00:00:00				1992	3	17																DE				Kürten-Eichhof																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:37.120Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:37.120Z	2022-04-23T02:14:53.686Z	false										
1052802735																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_S_1443_4_1		Frommolt, Karl-Heinz													PRESENT																			1992-03-17T13:38:00				1992	3	17																DE				Kürten-Eichhof																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:38.236Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:38.236Z	2022-04-23T02:14:53.686Z	false										
1052802734																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_S_1443_6_1		Frommolt, Karl-Heinz													PRESENT																			1992-03-17T14:45:00				1992	3	17																DE				Kürten-Eichhof																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:37.474Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:37.474Z	2022-04-23T02:14:53.686Z	false										
1052802731																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_S_1443_9_1		Frommolt, Karl-Heinz													PRESENT																			1992-03-17T00:00:00				1992	3	17																DE				Kürten-Eichhof																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:36.766Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:36.766Z	2022-04-23T02:14:53.686Z	false										
1052802730																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_lupus_f_familiaris_S_1443_8_1		Frommolt, Karl-Heinz													PRESENT																			1992-03-17T00:00:00				1992	3	17																DE				Kürten-Eichhof																																																												Canis lupus familiaris Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			lupus	familiaris		SUBSPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:36.934Z								Sound	false	false	6164210	6164210	1	44	359	732	9701	5219142		5219173	Canis lupus	Canis lupus familiaris Linnaeus, 1758	Canis lupus f. familiaris (Linnaeus, 1758)		BIOCASE	2022-09-09T08:41:36.934Z	2022-04-23T02:14:53.686Z	false										
