gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1052802738																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_7_1		Frommolt, Karl-Heinz																																	1992-03-17																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802735																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_4_1		Frommolt, Karl-Heinz																																	1992-03-17 13:38																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802734																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_6_1		Frommolt, Karl-Heinz																																	1992-03-17 14:45																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802731																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_9_1		Frommolt, Karl-Heinz																																	1992-03-17																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802730																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_8_1		Frommolt, Karl-Heinz																																	1992-03-17																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802729																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_5_1		Frommolt, Karl-Heinz																																	1992-03-17																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802728																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_19_2		Löhn, Janet and Berger, Anne																																	1992-03-18 14:16																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802727																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_10_2		Frommolt, Karl-Heinz																																	1992-03-17																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802726																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_3_1		Frommolt, Karl-Heinz																																	1992-03-17 10:06																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802725																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_21_2		Löhn, Janet and Berger, Anne																																	1992-03-18 15:00																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802724																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_2_1		Frommolt, Karl-Heinz																																	1992-03-17 10:06																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802723																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_18_2		Löhn, Janet and Berger, Anne																																	1992-03-18 14:04																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
